Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,Street_broad,Name_broad,Address_broad,Rating_broad,Latitude_broad,Longitude_broad
,,,,ChIJ-_hqBLbzNIgRC9-VHL_nA-A,,,34th St,Pacific Pride Commercial Fueling,"3225 Smallman Street, Pittsburgh",4.3,40.46226590000001,-79.9700751
penn ave,"Dr. Gregory N. Smith, MD","3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRaIHKdqAuMr8,40.4689045,-79.9634657,34th St,"Dr. Gregory N. Smith, MD","3937 Butler Street, Pittsburgh",,40.4689045,-79.9634657
penn ave,"Tara Clemente, MSW","3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRgDufet11Z4k,40.4689045,-79.9634657,34th St,"Tara Clemente, MSW","3937 Butler Street, Pittsburgh",,40.4689045,-79.9634657
penn ave,Lawrenceville Family Health Ct: Yuan David T MD,"3937 Butler Street, Pittsburgh",,ChIJ-cG-xEzyNIgRryE9fwcDv7g,40.4689006,-79.9634566,Butler St,Lawrenceville Family Health Ct: Yuan David T MD,"3937 Butler Street, Pittsburgh",,40.4689006,-79.9634566
penn ave,UPMC St. Margaret Lawrenceville Family Health Center,"3937 Butler Street, Pittsburgh",3.4,ChIJ-cG-xEzyNIgRzy312BgaCN0,40.4688796,-79.9634715,Butler St,UPMC St. Margaret Lawrenceville Family Health Center,"3937 Butler Street, Pittsburgh",3.4,40.4688796,-79.9634715
liberty ave,"Beverly J. Gruarin, DPM","4732 Liberty Avenue, Pittsburgh",3.7,ChIJ-cK6FEfyNIgR8PUiV3wyTag,40.46138699999999,-79.94888929999999,,,,,,
liberty ave,Family Foot Center,"4732 Liberty Avenue, Pittsburgh",3.1,ChIJ-cK6FEfyNIgRwo5OIug-r5M,40.46134,-79.94895,,,,,,
,,,,ChIJ-e-s6bnzNIgRYpKj9SWVW_4,,,39th St,Topographic & Geologic Survey,"500 Waterfront Drive, Pittsburgh",,40.46618839999999,-79.97638429999999
,,,,ChIJ-fWjXi_zNIgR051nmPlnsA4,,,Plummer St,Lawrence Locksmith Shop,"316 Grant Avenue, Pittsburgh",1.0,40.47976169999999,-79.9726717
penn ave,Penn Ave + 39th St,United States,5.0,ChIJ-wZzvkvyNIgRgu3cnqvUhec,40.464779,-79.960281,Penn Ave,Penn Ave + 39th St,United States,5.0,40.464779,-79.960281
,,,,ChIJ-xRtxxbzNIgRvO-5ETxUn98,,,46th St,GPSA INC,"112 Lincoln Avenue, Pittsburgh",4.5,40.478895,-79.96869199999999
penn ave,Millie's Homemade Ice Cream,"3803 Butler Street, Pittsburgh",4.8,ChIJ-y1mRQ_zNIgR0jQVTxnHryg,40.4670682,-79.96431439999999,Butler St,Millie's Homemade Ice Cream,"3803 Butler Street, Pittsburgh",4.8,40.4670682,-79.96431439999999
butler st,Precise Grinding,"140 46th Street, Pittsburgh",,ChIJ-y5bEvLzNIgRY6pnYs2PiCA,40.47408610000001,-79.9609721,,,,,,
,,,,ChIJ0-QK4C4uNIgRka4iiu5OzR4,,,34th St,PeopleReady,"19 35th Street, Pittsburgh",3.1,40.4660929,-79.9705912
liberty ave,Bloomfield Park,"408 Ella Street, Pittsburgh",4.4,ChIJ00zxaEjyNIgRAmIQw4o3bx4,40.46288860000001,-79.95391219999999,Liberty Ave,Bloomfield Park,"408 Ella Street, Pittsburgh",4.4,40.46288860000001,-79.95391219999999
butler st,Renaissance & Baroque,"100 43rd Street, Pittsburgh",,ChIJ03YddW7yNIgRhFTGUs8xFQ0,40.4728608,-79.9638889,34th St,Renaissance & Baroque,"100 43rd Street, Pittsburgh",,40.4728608,-79.9638889
,,,,ChIJ073rnanzNIgR20njvRuMhDk,,,46th St,United States Postal Service,"205 Lincoln Avenue, Millvale",2.4,40.4794674,-79.9707229
penn ave,Santurbane Photography,"4018 Penn Avenue, Pittsburgh",,ChIJ07HCR6jzNIgRqpgRNIT8ov4,40.4651819,-79.9571503,,,,,,
,,,,ChIJ07RG3avzNIgRmDZgzJzUBG0,,,44th St,East Ohio St + Grant,United States,,40.478296,-79.96892000000001
52nd st,Veterans Place of Washington Boulevard,"25 Bateman Street Apartment 4, Pittsburgh",,ChIJ083apoDzNIgR96ZHfxzZKng,40.4806974,-79.97856879999999,Stanton Ave,Veterans Place of Washington Boulevard,"25 Bateman Street Apartment 4, Pittsburgh",,40.4806974,-79.97856879999999
butler st,Parker Button Co,"4603 Butler Street, Pittsburgh",4.2,ChIJ09YbR2nxNIgRHcxJerzONtI,40.4730732,-79.9589182,Butler St,Parker Button Co,"4603 Butler Street, Pittsburgh",4.2,40.4730732,-79.9589182
butler st,Clarissa Boutique,"4603 Butler Street, Pittsburgh",4.9,ChIJ09YbR2nxNIgRampHzOVXKT0,40.4730732,-79.9589182,Butler St,Clarissa Boutique,"4603 Butler Street, Pittsburgh",4.9,40.4730732,-79.9589182
liberty ave,Bloomfield Lofts,"Edmond Street, Pittsburgh",,ChIJ0R5bN0fyNIgRPwagLfkMFEE,40.4612999,-79.94781429999999,,,,,,
liberty ave,Clement Way Graffiti Alley,"Clement Way, Pittsburgh",5.0,ChIJ0RD2-WfzNIgRl4pA4Auo4S4,40.463838,-79.95373579999999,,,,,,
penn ave,Burghers Brewing Company Lawrenceville Tap House,"3601 Butler Street, Pittsburgh",4.2,ChIJ0TkalrTzNIgR3WQ1VOvp8Jg,40.46550839999999,-79.9653805,,,,,,
butler st,Mix Candle Co Lawrenceville,"4409 Butler Street, Pittsburgh",4.7,ChIJ0UHfElLyNIgR4lBVX8eXhoc,40.4718971,-79.9597418,Butler St,Mix Candle Co Lawrenceville,"4409 Butler Street, Pittsburgh",4.7,40.4718971,-79.9597418
,,,,ChIJ0WWKHQX0NIgRzv58VQAAsvI,,,48th St,Mr. Smalls Recording and Mastering,"122 Butler Street, Pittsburgh",4.6,40.48032020000001,-79.972236
liberty ave,First National Bank,"4724 Liberty Avenue, Pittsburgh",3.8,ChIJ0WyPEkfyNIgR8w5NG4mGAWY,40.4614324,-79.9492944,Liberty Ave,First National Bank,"4724 Liberty Avenue, Pittsburgh",3.8,40.4614324,-79.9492944
liberty ave,Bloomfield,Pittsburgh,,ChIJ0X4ZRUHyNIgRDG3KutmxB2g,40.4621606,-79.94445259999999,Liberty Ave,Bloomfield,Pittsburgh,,40.4621606,-79.94445259999999
penn ave,Tugboat Printshop,"298 Bowery Way, Pittsburgh",5.0,ChIJ0XBFmU7yNIgRZyWnnuwbQaI,40.467453,-79.9579653,Penn Ave,Tugboat Printshop,"298 Bowery Way, Pittsburgh",5.0,40.467453,-79.9579653
butler st,Baseball Field,Pittsburgh,,ChIJ0dYvklHyNIgRM7yYcHwosd4,40.4723589,-79.9574781,,,,,,
penn ave,LibertyX Bitcoin ATM,"3822 Butler Street, Pittsburgh",,ChIJ0e4OinjzNIgRgAUW-Q6AA1I,40.4671488,-79.96388089999999,Butler St,LibertyX Bitcoin ATM,"3822 Butler Street, Pittsburgh",,40.4671488,-79.96388089999999
liberty ave,"Dr. Subramaniam Palanisamy, MD","4520 Penn Avenue, Pittsburgh",5.0,ChIJ0x5S6EXyNIgRwDvCnPVu4R8,40.4659913,-79.9515885,Liberty Ave,"Dr. Subramaniam Palanisamy, MD","4520 Penn Avenue, Pittsburgh",5.0,40.4659913,-79.9515885
butler st,Cattivo,"146 44th Street, Pittsburgh",4.5,ChIJ0yg081LyNIgR1f3iUqlu3Pw,40.4725388,-79.9616418,Butler St,Cattivo,"146 44th Street, Pittsburgh",4.5,40.4725388,-79.9616418
penn ave,Wildcard,"4209 Butler Street, Pittsburgh",4.9,ChIJ0zMjhU3yNIgRccfYAk4oczI,40.4705707,-79.96065329999999,Penn Ave,Wildcard,"4209 Butler Street, Pittsburgh",4.9,40.4705707,-79.96065329999999
penn ave,Family Hospice,"310 Fisk Street, Pittsburgh",4.0,ChIJ10Mbrk7yNIgRP-Iuj0piOmU,40.4659797,-79.9579565,Penn Ave,Family Hospice,"310 Fisk Street, Pittsburgh",4.0,40.4659797,-79.9579565
penn ave,UPMC Senior Communities,"200 Lothrop Street, Pittsburgh",1.0,ChIJ10Mbrk7yNIgRgbUmm4DS3c4,40.4657723,-79.9580991,Penn Ave,UPMC Senior Communities,"200 Lothrop Street, Pittsburgh",1.0,40.4657723,-79.9580991
penn ave,Arsenal Elementary School,"215 39th Street, Pittsburgh",4.5,ChIJ11k5t0zyNIgRYJWd4k3S-W8,40.46713749999999,-79.96302949999999,Penn Ave,Arsenal Elementary School,"215 39th Street, Pittsburgh",4.5,40.46713749999999,-79.96302949999999
butler st,Bar Botanico,"4325 Butler Street, Pittsburgh",4.7,ChIJ13QMk5bzNIgRAucYjlY8NM4,40.47136829999999,-79.9601177,,,,,,
liberty ave,Thai Gourmet,"4505 Liberty Avenue, Pittsburgh",4.7,ChIJ157INUbyNIgRIdYcEKwlsxk,40.463207,-79.95149800000002,Liberty Ave,Thai Gourmet,"4505 Liberty Avenue, Pittsburgh",4.7,40.463207,-79.95149800000002
penn ave,"Dialysis Clinic, Inc.","376 Fisk Street, Pittsburgh",,ChIJ18_DMZXzNIgRNtN56mL4wj4,40.4656954,-79.9573672,,,,,,
butler st,Keystone Vapors Lawrenceville,"4328 Butler Street, Pittsburgh",3.9,ChIJ1RNoC1LyNIgRpmnKRVfcOe0,40.4713332,-79.9597467,Penn Ave,Keystone Vapors Lawrenceville,"4328 Butler Street, Pittsburgh",3.9,40.4713332,-79.9597467
penn ave,"Nisha Kamal Shah, DO","310 Fisk Street, Pittsburgh",,ChIJ1Sb-TFDzNIgR5K0WCbAllRQ,40.4661521,-79.9583097,Penn Ave,"Nisha Kamal Shah, DO","310 Fisk Street, Pittsburgh",,40.4661521,-79.9583097
,,,,ChIJ1T-6XKjzNIgR8261qkkFhTg,,,48th St,First National Bank,"420 Grant Avenue, Pittsburgh",3.9,40.4804116,-79.9737291
butler st,D'Alessandro Funeral Home & Crematory Ltd.,"4522 Butler Street, Pittsburgh",4.4,ChIJ1YilJlLyNIgR7Qical_yIzw,40.4725189,-79.9586345,Butler St,D'Alessandro Funeral Home & Crematory Ltd.,"4522 Butler Street, Pittsburgh",4.4,40.4725189,-79.9586345
liberty ave,Tessaro's American Bar & Hardwood Grill,"4601 Liberty Avenue, Pittsburgh",4.5,ChIJ1a5WTUbyNIgRjZqErFhIgMQ,40.4627075,-79.9507294,Liberty Ave,Tessaro's American Bar & Hardwood Grill,"4601 Liberty Avenue, Pittsburgh",4.5,40.4627075,-79.9507294
butler st,Estelle S. Campbell - Boys & Girls Club of Western PA,"4600 Butler Street, Pittsburgh",4.6,ChIJ1dvMgFHyNIgRpIdt5U0t_Z4,40.47305230000001,-79.9580667,Butler St,Estelle S. Campbell - Boys & Girls Club of Western PA,"4600 Butler Street, Pittsburgh",4.6,40.47305230000001,-79.9580667
,,,,ChIJ1eTwY7DzNIgRKlHSdbdUbJQ,,,39th St,Pittsburgh Paddlefish Dragon Boat Club,"90 River Front Drive, Millvale",5.0,40.469845,-79.9746558
butler st,KShu Media - Video Editing and Photo Editing,"149 43rd Street #2, Pittsburgh",5.0,ChIJ1ew6n4TzNIgROaSRamG4xn4,40.4718503,-79.9617377,,,,,,
penn ave,Bestwick Auto Services,"3520 Butler Street, Pittsburgh",4.6,ChIJ1z0O5rTzNIgRkFYg-zOqDes,40.46454459999999,-79.9656675,,,,,,
,,,,ChIJ1zoGtanzNIgRx1pZ87DeHl4,,,Plummer St,The Funhouse at Mr. Smalls,"400 Lincoln Avenue 2nd floor, Millvale",4.6,40.48096570000001,-79.9722912
penn ave,Butler St at 36th St,United States,,ChIJ2-Crv7TzNIgRVscjy2qCPLY,40.465381,-79.96527449999999,,,,,,
liberty ave,Liberty Ave at Canoe Way,United States,,ChIJ209u-EjyNIgRzV5jgGfND4c,40.4631355,-79.955061,,,,,,
liberty ave,Mosaic Dance and Movement Studio,"4514 Liberty Avenue, Pittsburgh",5.0,ChIJ21-T70nzNIgR6MYuX6BUIJw,40.4627058,-79.9514454,Liberty Ave,Mosaic Dance and Movement Studio,"4514 Liberty Avenue, Pittsburgh",5.0,40.4627058,-79.9514454
,,,,ChIJ21Ej5AbzNIgRmz5IY6Lj7cc,,,45th St,"Naushin A. Udyawar, MD","111 Sheridan Street, Pittsburgh",,40.4790076,-79.97099299999999
48th st,Christman Chemical Co. Inc.,"One Sheridan Street, Millvale",,ChIJ22PRK6nzNIgR3BmittpFzik,40.4773719,-79.9718496,43rd St,Christman Chemical Co. Inc.,"One Sheridan Street, Millvale",,40.4773719,-79.9718496
butler st,Karen Meyers Photography,"100 43rd Street, Pittsburgh",5.0,ChIJ232pm-jtNIgRVtP5cYCjr_o,40.4728608,-79.9638889,34th St,Karen Meyers Photography,"100 43rd Street, Pittsburgh",5.0,40.4728608,-79.9638889
butler st,Attack Theatre,"212 45th Street, Pittsburgh",4.5,ChIJ23Frx8TzNIgRhpVoOyGa7g0,40.4718797,-79.9591766,Penn Ave,Attack Theatre,"212 45th Street, Pittsburgh",4.5,40.4718797,-79.9591766
,,,,ChIJ24kbPqjzNIgRnXZWVrq8zQI,,,49th St,Ray Feather Photography,"517 Lincoln Avenue, Pittsburgh",,40.4813842,-79.9742095
liberty ave,H Lazar & Son Inc,"4416 Liberty Avenue #20, Pittsburgh",3.0,ChIJ24ynLkbyNIgRwfB9ij39EHw,40.4631643,-79.9524392,Liberty Ave,H Lazar & Son Inc,"4416 Liberty Avenue #20, Pittsburgh",3.0,40.4631643,-79.9524392
butler st,La Gourmandine,"4605 Butler Street, Pittsburgh",4.8,ChIJ2RmULlLyNIgRiyhyWkajxPI,40.4731288,-79.9588764,Butler St,La Gourmandine,"4605 Butler Street, Pittsburgh",4.8,40.4731288,-79.9588764
liberty ave,Citizens ATM,"4401 Liberty Avenue, Pittsburgh",,ChIJ2VY10NDzNIgRcoqwFnRf-K0,40.46418070000001,-79.9522332,,,,,,
liberty ave,Rite Aid,"4411 Howley Street, Pittsburgh",3.9,ChIJ2X-6IEbyNIgRScR3KfAELy4,40.464548,-79.95261099999999,Liberty Ave,Rite Aid,"4411 Howley Street, Pittsburgh",3.9,40.464548,-79.95261099999999
,,,,ChIJ2bM3_avzNIgREIiBT-nRV9Q,,,42nd St,"Daniels Electric Service, LLC","329 East Ohio Street, Pittsburgh",4.1,40.4775454,-79.9694912
penn ave,Hyacinth Epp Hall,"224 37th Street, Pittsburgh",,ChIJ2f5UV_nzNIgRHEBRsb31w5E,40.46560179999999,-79.96415379999999,,,,,,
mccandless ave,Vecenie's Distributing Co,"140 North Avenue, Millvale",4.9,ChIJ2y6TJqnzNIgRWfviOQbxNCI,40.4807191,-79.97494859999999,49th St,Vecenie's Distributing Co,"140 North Avenue, Millvale",4.9,40.4807191,-79.97494859999999
liberty ave,Event Source - Pittsburgh,"4047 Liberty Avenue, Pittsburgh",4.3,ChIJ2zGQ_kjyNIgRHiJWGa_y38k,40.4633816,-79.9554302,,,,,,
liberty ave,Friendship Ave at Pearl St,United States,,ChIJ3-ZC6UbyNIgRsJjAJw0yI3M,40.463452,-79.9489205,,,,,,
penn ave,"Christine Healy, Pittsburgh Realtor with RE/MAX Real Estate Solutions","4020 Butler Street, Pittsburgh",5.0,ChIJ3091EEvzNIgR34IwhOtr83k,40.4691015,-79.9614952,Butler St,"Christine Healy, Pittsburgh Realtor with RE/MAX Real Estate Solutions","4020 Butler Street, Pittsburgh",5.0,40.4691015,-79.9614952
mccandless ave,Laundromat,"521 Grant Avenue, Millvale",3.8,ChIJ30rQdqjzNIgR4s-ehYZ5bbU,40.4807503,-79.9749121,49th St,Laundromat,"521 Grant Avenue, Millvale",3.8,40.4807503,-79.9749121
penn ave,Party On Butler,"4304 Butler Street, Pittsburgh",4.9,ChIJ31rV7MbtNIgRcTL7nd0lmqY,40.4707549,-79.9600786,Penn Ave,Party On Butler,"4304 Butler Street, Pittsburgh",4.9,40.4707549,-79.9600786
liberty ave,TMC Performance Products,"4040 Liberty Avenue, Pittsburgh",,ChIJ3S7Fq0nyNIgRkkfThyIy0BY,40.4628021,-79.9559531,,,,,,
liberty ave,Howley St at Friendship Ave,United States,,ChIJ3T_hdEbyNIgRuG6rZVCvYYg,40.465112,-79.951343,,,,,,
,,,,ChIJ3W2bIj3zNIgReXUKaiTVJR4,,,34th St,BearCom,"3229 Spruce Way, Pittsburgh",4.3,40.4624513,-79.97060700000002
,,,,ChIJ3WER90PyNIgR52OGokXT6ZA,,,Butler St,Allegheny Cemetery,"4734 Butler Street, Pittsburgh",4.8,40.47497200000001,-79.957413
liberty ave,Penn Ave at Main St,United States,,ChIJ3dVL00jyNIgRYrDNRln6srE,40.465604,-79.9552175,,,,,,
penn ave,Ethereal Studio,"3700 Penn Avenue, Pittsburgh",5.0,ChIJ3dsThXrzNIgR3csqgx0rTJo,40.4642777,-79.9623491,Penn Ave,Ethereal Studio,"3700 Penn Avenue, Pittsburgh",5.0,40.4642777,-79.9623491
,,,,ChIJ3fYPbXXtNIgR2DMgv-az8dM,,,45th St,Maude's Paperwing Gallery,"142 Grant Avenue FL 2, Millvale",4.9,40.4786674,-79.9706676
penn ave,Lawrenceville Lofts,"3711 Butler Street, Pittsburgh",,ChIJ3wj9VrPzNIgR8nsGGVhhlFs,40.4666344,-79.9645681,34th St,Lawrenceville Lofts,"3711 Butler Street, Pittsburgh",,40.4666344,-79.9645681
,,,,ChIJ3wrxq0ryNIgR-6FqZgtMzCg,,,Penn Ave,Marbella Event Furniture and Decor Rental,"3600 Liberty Avenue, Pittsburgh",,40.4616342,-79.9637588
butler st,Agility Robotics,"91 43rd Street Suite 220, Pittsburgh",5.0,ChIJ3xiKDLbzNIgRLpWxW-a5Fqw,40.473351,-79.963422,36th St,Agility Robotics,"91 43rd Street Suite 220, Pittsburgh",5.0,40.473351,-79.963422
penn ave,Pure imagination,"4415 Garwood Way, Pittsburgh",5.0,ChIJ3y9eNwDzNIgREa_SdARJ6zM,40.46846720000001,-79.9547787,Penn Ave,Pure imagination,"4415 Garwood Way, Pittsburgh",5.0,40.46846720000001,-79.9547787
penn ave,Otto Productions,"300 39th Street suite c, Pittsburgh",5.0,ChIJ4-LInkvyNIgR2i-vvBgrerg,40.4650852,-79.9609206,Penn Ave,Otto Productions,"300 39th Street suite c, Pittsburgh",5.0,40.4650852,-79.9609206
,,,,ChIJ41BeW1HyNIgR4sPbtKeMxyQ,,,Butler St,Cutitta Chiropractic,"4733 Butler Street, Pittsburgh",4.8,40.4750307,-79.9578374
,,,,ChIJ41BeW1HyNIgRsI8bbsk8zMI,,,Butler St,"Michael R. Cutitta, DC","4733 Butler Street, Pittsburgh",,40.4750249,-79.9579383
penn ave,Rubber Products Tire Co,"3810 Penn Avenue, Pittsburgh",3.9,ChIJ42rmCUvyNIgRLJ0BW5dYKLs,40.46456989999999,-79.9610421,Penn Ave,Rubber Products Tire Co,"3810 Penn Avenue, Pittsburgh",3.9,40.46456989999999,-79.9610421
butler st,Redfishbowl,"4327 Butler Street #200, Pittsburgh",4.9,ChIJ45zPpBDzNIgRIskaArQO6d4,40.471468,-79.9600765,,,,,,
penn ave,Anderson David A DDS,"4201 Butler Street, Pittsburgh",3.0,ChIJ47JSmk3yNIgRrjw_C5ehFZI,40.4703353,-79.9606903,,,,,,
,,,,ChIJ47pOfZPzNIgRY_j6yEEmhLA,,,Stanton Ave,Millvale Market,"524 Grant Avenue Floor 1, Millvale",4.6,40.4810875,-79.97467499999999
liberty ave,ALANZOS DISTRIBUTOR,"4614 Liberty Avenue Floor #2, Pittsburgh",,ChIJ49gmqUfyNIgRrwTIq6TNGJo,40.4622132,-79.9503354,,,,,,
,,,,ChIJ4Qz2p8DzNIgRR_HId-uBxP8,,,34th St,LibertyX Bitcoin ATM,"86 35th Street, Pittsburgh",,40.46428969999999,-79.9704762
penn ave,Morcilla,"3519 Butler Street, Pittsburgh",4.7,ChIJ4SrQ-rTzNIgRBCWal8EzERk,40.4645709,-79.9661648,Penn Ave,Morcilla,"3519 Butler Street, Pittsburgh",4.7,40.4645709,-79.9661648
penn ave,Loft Home,"3529 Butler Street, Pittsburgh",4.9,ChIJ4VVaiC_zNIgRQQ3j_HOE1hk,40.4649071,-79.9659728,,,,,,
liberty ave,Matotek Louise,"4760 Liberty Avenue, Pittsburgh",,ChIJ4a0_RkfyNIgRBigEvMAkQXQ,40.460845,-79.948054,,,,,,
liberty ave,Weirsznewski Theresa,"4760 Liberty Avenue, Pittsburgh",,ChIJ4a0_RkfyNIgRJ73dMazK5LY,40.460845,-79.948054,,,,,,
liberty ave,Los Cabos Mexican Restaurant,"4110 Penn Avenue, Pittsburgh",4.3,ChIJ4at4NE_yNIgRDPjJG9F_BQQ,40.465667,-79.95455,,,,,,
liberty ave,Isle of You Hair Color Studio,"4047 Penn Avenue, Pittsburgh",4.7,ChIJ4b88t1fyNIgRAxq_boM1euM,40.46568389999999,-79.9561717,,,,,,
liberty ave,"Roxana F. Barad, M.D.","4424 Penn Avenue #102, Pittsburgh",2.3,ChIJ4wauT8_vNIgR5xdFlJ9SGTs,40.465907,-79.952608,,,,,,
,,,,ChIJ4wbcYKjzNIgRW_UNp7EhlvQ,,,Plummer St,"Pretty Birds, LLC","425 Grant Avenue, Pittsburgh",4.7,40.4800787,-79.9740151
,,,,ChIJ5-y5TgnzNIgRJbE7Rge4WYg,,,44th St,Contractor Plumbing Supply,"419 East Ohio Street Lot Side, Millvale",5.0,40.47820410000001,-79.969199
,,,,ChIJ504DZKnzNIgRx4gDuBu9c0A,,,44th St,MoneyGram,"129 Lincoln Avenue, Swissvale",4.0,40.4785906,-79.97001910000002
butler st,Asia Margo Photography,"100 43rd Street, Pittsburgh",,ChIJ50KszQztNIgRlsTB4CqeBa0,40.4729243,-79.96394649999999,35th St,Asia Margo Photography,"100 43rd Street, Pittsburgh",,40.4729243,-79.96394649999999
stanton ave,Bore-Millvale Athletic Field,Millvale,5.0,ChIJ50Up_KbzNIgRrzq_JRJcRME,40.480069,-79.9783862,51st St,Bore-Millvale Athletic Field,Millvale,5.0,40.480069,-79.9783862
penn ave,LibertyX Bitcoin ATM,"3939 Butler Street, Pittsburgh",,ChIJ51YRg_rzNIgRzTFGQ08-KhY,40.4690468,-79.96329089999999,34th St,LibertyX Bitcoin ATM,"3939 Butler Street, Pittsburgh",,40.4690468,-79.96329089999999
liberty ave,Condrin Tavern,"4501 Torley Street, Pittsburgh",4.8,ChIJ51ZZeUbyNIgR2bSGde-0wMA,40.4648698,-79.9505188,,,,,,
,,,,ChIJ54xeI2TzNIgRDBPRGuNxNBA,,,Liberty Ave,Trailer Rental at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",4.5,40.4576139,-79.95653080000001
penn ave,Deli on Butler,"4108 Butler Street, Pittsburgh",4.7,ChIJ55rQBU3yNIgRzoL6N8HVv_4,40.469666,-79.96094409999999,Penn Ave,Deli on Butler,"4108 Butler Street, Pittsburgh",4.7,40.469666,-79.96094409999999
butler st,Butler St + 44th,United States,,ChIJ56ITDVLyNIgRCl972KV6hx4,40.4715875,-79.9597981,,,,,,
,,,,ChIJ57DZaqPzNIgR7onxVzonBs8,,,50th St,Reserve Township Office,"33 Lonsdale Street # 2, Pittsburgh",3.0,40.4741355,-79.98256479999999
,,,,ChIJ57DZaqPzNIgRQHDhapTDvhw,,,49th St,Reserve Volunteer Fire Department,"33 Lonsdale Street, Pittsburgh",5.0,40.4743828,-79.9822758
,,,,ChIJ57DZaqPzNIgRRm2db2oSk24,,,49th St,Mt Troy Ballroom,"33 Lonsdale Street, Pittsburgh",4.4,40.4741927,-79.98242499999999
penn ave,Oasis Restaurant,"4012 Butler Street, Pittsburgh",4.3,ChIJ58X5w67zNIgRLny0vnJKViM,40.4688893,-79.9616618,Penn Ave,Oasis Restaurant,"4012 Butler Street, Pittsburgh",4.3,40.4688893,-79.9616618
,,,,ChIJ5QXLFqjzNIgR_SWoNohU_KE,,,52nd St,"Dr. Franklin N. Masin, MD",United States,,40.48138600000001,-79.97425989999999
butler st,Techmill 41,"105 40th Street, Pittsburgh",3.5,ChIJ5RbhtjDzNIgRLZioFwQ-Cy8,40.4715778,-79.9649063,34th St,Techmill 41,"105 40th Street, Pittsburgh",3.5,40.4715778,-79.9649063
butler st,Steven Dalton Photography,"265 46th Street Apt. 1212, Pittsburgh",5.0,ChIJ5S5miMdjM4gR40fBCaHxOMg,40.4716649,-79.95629799999999,Penn Ave,Steven Dalton Photography,"265 46th Street Apt. 1212, Pittsburgh",5.0,40.4716649,-79.95629799999999
butler st,"SKIBBA Illustration, LLC","100 43rd Street #211, Pittsburgh",,ChIJ5SDBc1LyNIgRiHUbiyZsiV4,40.47292399999999,-79.96394699999999,35th St,"SKIBBA Illustration, LLC","100 43rd Street #211, Pittsburgh",,40.47292399999999,-79.96394699999999
,,,,ChIJ5TTlwbXzNIgRVdAnHTB5nSk,,,34th St,Pittsburgh Kitchenramma,"3340 Smallman Street, Pittsburgh",3.8,40.4628416,-79.968384
penn ave,Piccolo Forno,"3801 Butler Street, Pittsburgh",4.5,ChIJ5UoaTrPzNIgR67C6D3W0d-M,40.4670037,-79.9643576,Penn Ave,Piccolo Forno,"3801 Butler Street, Pittsburgh",4.5,40.4670037,-79.9643576
