Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding,flag
butler st,Cattivo,"146 44th Street, Pittsburgh",4.5,ChIJ0yg081LyNIgR1f3iUqlu3Pw,40.4725388,-79.9616418,consolidated
penn ave,Wildcard,"4209 Butler Street, Pittsburgh",4.9,ChIJ0zMjhU3yNIgRccfYAk4oczI,40.4705707,-79.96065329999999,consolidated
penn ave,Family Hospice,"310 Fisk Street, Pittsburgh",4.0,ChIJ10Mbrk7yNIgRP-Iuj0piOmU,40.4659797,-79.9579565,consolidated
penn ave,UPMC Senior Communities,"200 Lothrop Street, Pittsburgh",1.0,ChIJ10Mbrk7yNIgRgbUmm4DS3c4,40.4657723,-79.9580991,consolidated
penn ave,Arsenal Elementary School,"215 39th Street, Pittsburgh",4.5,ChIJ11k5t0zyNIgRYJWd4k3S-W8,40.46713749999999,-79.96302949999999,consolidated
butler st,Bar Botanico,"4325 Butler Street, Pittsburgh",4.7,ChIJ13QMk5bzNIgRAucYjlY8NM4,40.47136829999999,-79.9601177,bounding_only
liberty ave,Thai Gourmet,"4505 Liberty Avenue, Pittsburgh",4.7,ChIJ157INUbyNIgRIdYcEKwlsxk,40.463207,-79.95149800000002,consolidated
penn ave,"Dialysis Clinic, Inc.","376 Fisk Street, Pittsburgh",,ChIJ18_DMZXzNIgRNtN56mL4wj4,40.4656954,-79.9573672,bounding_only
butler st,Keystone Vapors Lawrenceville,"4328 Butler Street, Pittsburgh",3.9,ChIJ1RNoC1LyNIgRpmnKRVfcOe0,40.4713332,-79.9597467,consolidated
penn ave,"Nisha Kamal Shah, DO","310 Fisk Street, Pittsburgh",,ChIJ1Sb-TFDzNIgR5K0WCbAllRQ,40.4661521,-79.9583097,consolidated
48th St,First National Bank,"420 Grant Avenue, Pittsburgh",3.9,ChIJ1T-6XKjzNIgR8261qkkFhTg,40.4804116,-79.9737291,broad_filled
butler st,D'Alessandro Funeral Home & Crematory Ltd.,"4522 Butler Street, Pittsburgh",4.4,ChIJ1YilJlLyNIgR7Qical_yIzw,40.4725189,-79.9586345,consolidated
liberty ave,Tessaro's American Bar & Hardwood Grill,"4601 Liberty Avenue, Pittsburgh",4.5,ChIJ1a5WTUbyNIgRjZqErFhIgMQ,40.4627075,-79.9507294,consolidated
butler st,Estelle S. Campbell - Boys & Girls Club of Western PA,"4600 Butler Street, Pittsburgh",4.6,ChIJ1dvMgFHyNIgRpIdt5U0t_Z4,40.47305230000001,-79.9580667,consolidated
39th St,Pittsburgh Paddlefish Dragon Boat Club,"90 River Front Drive, Millvale",5.0,ChIJ1eTwY7DzNIgRKlHSdbdUbJQ,40.469845,-79.9746558,broad_filled
butler st,KShu Media - Video Editing and Photo Editing,"149 43rd Street #2, Pittsburgh",5.0,ChIJ1ew6n4TzNIgROaSRamG4xn4,40.4718503,-79.9617377,bounding_only
penn ave,Bestwick Auto Services,"3520 Butler Street, Pittsburgh",4.6,ChIJ1z0O5rTzNIgRkFYg-zOqDes,40.46454459999999,-79.9656675,bounding_only
Plummer St,The Funhouse at Mr. Smalls,"400 Lincoln Avenue 2nd floor, Millvale",4.6,ChIJ1zoGtanzNIgRx1pZ87DeHl4,40.48096570000001,-79.9722912,broad_filled
penn ave,Butler St at 36th St,United States,,ChIJ2-Crv7TzNIgRVscjy2qCPLY,40.465381,-79.96527449999999,bounding_only
liberty ave,Liberty Ave at Canoe Way,United States,,ChIJ209u-EjyNIgRzV5jgGfND4c,40.4631355,-79.955061,bounding_only
liberty ave,Mosaic Dance and Movement Studio,"4514 Liberty Avenue, Pittsburgh",5.0,ChIJ21-T70nzNIgR6MYuX6BUIJw,40.4627058,-79.9514454,consolidated
45th St,"Naushin A. Udyawar, MD","111 Sheridan Street, Pittsburgh",,ChIJ21Ej5AbzNIgRmz5IY6Lj7cc,40.4790076,-79.97099299999999,broad_filled
48th st,Christman Chemical Co. Inc.,"One Sheridan Street, Millvale",,ChIJ22PRK6nzNIgR3BmittpFzik,40.4773719,-79.9718496,consolidated
butler st,Karen Meyers Photography,"100 43rd Street, Pittsburgh",5.0,ChIJ232pm-jtNIgRVtP5cYCjr_o,40.4728608,-79.9638889,consolidated
butler st,Attack Theatre,"212 45th Street, Pittsburgh",4.5,ChIJ23Frx8TzNIgRhpVoOyGa7g0,40.4718797,-79.9591766,consolidated
49th St,Ray Feather Photography,"517 Lincoln Avenue, Pittsburgh",,ChIJ24kbPqjzNIgRnXZWVrq8zQI,40.4813842,-79.9742095,broad_filled
liberty ave,H Lazar & Son Inc,"4416 Liberty Avenue #20, Pittsburgh",3.0,ChIJ24ynLkbyNIgRwfB9ij39EHw,40.4631643,-79.9524392,consolidated
butler st,La Gourmandine,"4605 Butler Street, Pittsburgh",4.8,ChIJ2RmULlLyNIgRiyhyWkajxPI,40.4731288,-79.9588764,consolidated
liberty ave,Citizens ATM,"4401 Liberty Avenue, Pittsburgh",,ChIJ2VY10NDzNIgRcoqwFnRf-K0,40.46418070000001,-79.9522332,bounding_only
liberty ave,Rite Aid,"4411 Howley Street, Pittsburgh",3.9,ChIJ2X-6IEbyNIgRScR3KfAELy4,40.464548,-79.95261099999999,consolidated
42nd St,"Daniels Electric Service, LLC","329 East Ohio Street, Pittsburgh",4.1,ChIJ2bM3_avzNIgREIiBT-nRV9Q,40.4775454,-79.9694912,broad_filled
penn ave,Hyacinth Epp Hall,"224 37th Street, Pittsburgh",,ChIJ2f5UV_nzNIgRHEBRsb31w5E,40.46560179999999,-79.96415379999999,bounding_only
mccandless ave,Vecenie's Distributing Co,"140 North Avenue, Millvale",4.9,ChIJ2y6TJqnzNIgRWfviOQbxNCI,40.4807191,-79.97494859999999,consolidated
liberty ave,Event Source - Pittsburgh,"4047 Liberty Avenue, Pittsburgh",4.3,ChIJ2zGQ_kjyNIgRHiJWGa_y38k,40.4633816,-79.9554302,bounding_only
liberty ave,Friendship Ave at Pearl St,United States,,ChIJ3-ZC6UbyNIgRsJjAJw0yI3M,40.463452,-79.9489205,bounding_only
penn ave,"Christine Healy, Pittsburgh Realtor with RE/MAX Real Estate Solutions","4020 Butler Street, Pittsburgh",5.0,ChIJ3091EEvzNIgR34IwhOtr83k,40.4691015,-79.9614952,consolidated
mccandless ave,Laundromat,"521 Grant Avenue, Millvale",3.8,ChIJ30rQdqjzNIgR4s-ehYZ5bbU,40.4807503,-79.9749121,consolidated
penn ave,Party On Butler,"4304 Butler Street, Pittsburgh",4.9,ChIJ31rV7MbtNIgRcTL7nd0lmqY,40.4707549,-79.9600786,consolidated
liberty ave,TMC Performance Products,"4040 Liberty Avenue, Pittsburgh",,ChIJ3S7Fq0nyNIgRkkfThyIy0BY,40.4628021,-79.9559531,bounding_only
liberty ave,Howley St at Friendship Ave,United States,,ChIJ3T_hdEbyNIgRuG6rZVCvYYg,40.465112,-79.951343,bounding_only
34th St,BearCom,"3229 Spruce Way, Pittsburgh",4.3,ChIJ3W2bIj3zNIgReXUKaiTVJR4,40.4624513,-79.97060700000002,broad_filled
Butler St,Allegheny Cemetery,"4734 Butler Street, Pittsburgh",4.8,ChIJ3WER90PyNIgR52OGokXT6ZA,40.47497200000001,-79.957413,broad_filled
liberty ave,Penn Ave at Main St,United States,,ChIJ3dVL00jyNIgRYrDNRln6srE,40.465604,-79.9552175,bounding_only
penn ave,Ethereal Studio,"3700 Penn Avenue, Pittsburgh",5.0,ChIJ3dsThXrzNIgR3csqgx0rTJo,40.4642777,-79.9623491,consolidated
45th St,Maude's Paperwing Gallery,"142 Grant Avenue FL 2, Millvale",4.9,ChIJ3fYPbXXtNIgR2DMgv-az8dM,40.4786674,-79.9706676,broad_filled
penn ave,Lawrenceville Lofts,"3711 Butler Street, Pittsburgh",,ChIJ3wj9VrPzNIgR8nsGGVhhlFs,40.4666344,-79.9645681,consolidated
Penn Ave,Marbella Event Furniture and Decor Rental,"3600 Liberty Avenue, Pittsburgh",,ChIJ3wrxq0ryNIgR-6FqZgtMzCg,40.4616342,-79.9637588,broad_filled
butler st,Agility Robotics,"91 43rd Street Suite 220, Pittsburgh",5.0,ChIJ3xiKDLbzNIgRLpWxW-a5Fqw,40.473351,-79.963422,consolidated
penn ave,Pure imagination,"4415 Garwood Way, Pittsburgh",5.0,ChIJ3y9eNwDzNIgREa_SdARJ6zM,40.46846720000001,-79.9547787,consolidated
penn ave,Otto Productions,"300 39th Street suite c, Pittsburgh",5.0,ChIJ4-LInkvyNIgR2i-vvBgrerg,40.4650852,-79.9609206,consolidated
Butler St,Cutitta Chiropractic,"4733 Butler Street, Pittsburgh",4.8,ChIJ41BeW1HyNIgR4sPbtKeMxyQ,40.4750307,-79.9578374,broad_filled
Butler St,"Michael R. Cutitta, DC","4733 Butler Street, Pittsburgh",,ChIJ41BeW1HyNIgRsI8bbsk8zMI,40.4750249,-79.9579383,broad_filled
penn ave,Rubber Products Tire Co,"3810 Penn Avenue, Pittsburgh",3.9,ChIJ42rmCUvyNIgRLJ0BW5dYKLs,40.46456989999999,-79.9610421,consolidated
butler st,Redfishbowl,"4327 Butler Street #200, Pittsburgh",4.9,ChIJ45zPpBDzNIgRIskaArQO6d4,40.471468,-79.9600765,bounding_only
penn ave,Anderson David A DDS,"4201 Butler Street, Pittsburgh",3.0,ChIJ47JSmk3yNIgRrjw_C5ehFZI,40.4703353,-79.9606903,bounding_only
Stanton Ave,Millvale Market,"524 Grant Avenue Floor 1, Millvale",4.6,ChIJ47pOfZPzNIgRY_j6yEEmhLA,40.4810875,-79.97467499999999,broad_filled
liberty ave,ALANZOS DISTRIBUTOR,"4614 Liberty Avenue Floor #2, Pittsburgh",,ChIJ49gmqUfyNIgRrwTIq6TNGJo,40.4622132,-79.9503354,bounding_only
34th St,LibertyX Bitcoin ATM,"86 35th Street, Pittsburgh",,ChIJ4Qz2p8DzNIgRR_HId-uBxP8,40.46428969999999,-79.9704762,broad_filled
penn ave,Morcilla,"3519 Butler Street, Pittsburgh",4.7,ChIJ4SrQ-rTzNIgRBCWal8EzERk,40.4645709,-79.9661648,consolidated
penn ave,Loft Home,"3529 Butler Street, Pittsburgh",4.9,ChIJ4VVaiC_zNIgRQQ3j_HOE1hk,40.4649071,-79.9659728,bounding_only
liberty ave,Matotek Louise,"4760 Liberty Avenue, Pittsburgh",,ChIJ4a0_RkfyNIgRBigEvMAkQXQ,40.460845,-79.948054,bounding_only
liberty ave,Weirsznewski Theresa,"4760 Liberty Avenue, Pittsburgh",,ChIJ4a0_RkfyNIgRJ73dMazK5LY,40.460845,-79.948054,bounding_only
liberty ave,Los Cabos Mexican Restaurant,"4110 Penn Avenue, Pittsburgh",4.3,ChIJ4at4NE_yNIgRDPjJG9F_BQQ,40.465667,-79.95455,bounding_only
liberty ave,Isle of You Hair Color Studio,"4047 Penn Avenue, Pittsburgh",4.7,ChIJ4b88t1fyNIgRAxq_boM1euM,40.46568389999999,-79.9561717,bounding_only
liberty ave,"Roxana F. Barad, M.D.","4424 Penn Avenue #102, Pittsburgh",2.3,ChIJ4wauT8_vNIgR5xdFlJ9SGTs,40.465907,-79.952608,bounding_only
Plummer St,"Pretty Birds, LLC","425 Grant Avenue, Pittsburgh",4.7,ChIJ4wbcYKjzNIgRW_UNp7EhlvQ,40.4800787,-79.9740151,broad_filled
44th St,Contractor Plumbing Supply,"419 East Ohio Street Lot Side, Millvale",5.0,ChIJ5-y5TgnzNIgRJbE7Rge4WYg,40.47820410000001,-79.969199,broad_filled
44th St,MoneyGram,"129 Lincoln Avenue, Swissvale",4.0,ChIJ504DZKnzNIgRx4gDuBu9c0A,40.4785906,-79.97001910000002,broad_filled
butler st,Asia Margo Photography,"100 43rd Street, Pittsburgh",,ChIJ50KszQztNIgRlsTB4CqeBa0,40.4729243,-79.96394649999999,consolidated
stanton ave,Bore-Millvale Athletic Field,Millvale,5.0,ChIJ50Up_KbzNIgRrzq_JRJcRME,40.480069,-79.9783862,consolidated
penn ave,LibertyX Bitcoin ATM,"3939 Butler Street, Pittsburgh",,ChIJ51YRg_rzNIgRzTFGQ08-KhY,40.4690468,-79.96329089999999,consolidated
liberty ave,Condrin Tavern,"4501 Torley Street, Pittsburgh",4.8,ChIJ51ZZeUbyNIgR2bSGde-0wMA,40.4648698,-79.9505188,bounding_only
Liberty Ave,Trailer Rental at U-Haul,"3700 Bigelow Boulevard, Pittsburgh",4.5,ChIJ54xeI2TzNIgRDBPRGuNxNBA,40.4576139,-79.95653080000001,broad_filled
penn ave,Deli on Butler,"4108 Butler Street, Pittsburgh",4.7,ChIJ55rQBU3yNIgRzoL6N8HVv_4,40.469666,-79.96094409999999,consolidated
butler st,Butler St + 44th,United States,,ChIJ56ITDVLyNIgRCl972KV6hx4,40.4715875,-79.9597981,bounding_only
50th St,Reserve Township Office,"33 Lonsdale Street # 2, Pittsburgh",3.0,ChIJ57DZaqPzNIgR7onxVzonBs8,40.4741355,-79.98256479999999,broad_filled
49th St,Reserve Volunteer Fire Department,"33 Lonsdale Street, Pittsburgh",5.0,ChIJ57DZaqPzNIgRQHDhapTDvhw,40.4743828,-79.9822758,broad_filled
49th St,Mt Troy Ballroom,"33 Lonsdale Street, Pittsburgh",4.4,ChIJ57DZaqPzNIgRRm2db2oSk24,40.4741927,-79.98242499999999,broad_filled
penn ave,Oasis Restaurant,"4012 Butler Street, Pittsburgh",4.3,ChIJ58X5w67zNIgRLny0vnJKViM,40.4688893,-79.9616618,consolidated
52nd St,"Dr. Franklin N. Masin, MD",United States,,ChIJ5QXLFqjzNIgR_SWoNohU_KE,40.48138600000001,-79.97425989999999,broad_filled
butler st,Techmill 41,"105 40th Street, Pittsburgh",3.5,ChIJ5RbhtjDzNIgRLZioFwQ-Cy8,40.4715778,-79.9649063,consolidated
butler st,Steven Dalton Photography,"265 46th Street Apt. 1212, Pittsburgh",5.0,ChIJ5S5miMdjM4gR40fBCaHxOMg,40.4716649,-79.95629799999999,consolidated
butler st,"SKIBBA Illustration, LLC","100 43rd Street #211, Pittsburgh",,ChIJ5SDBc1LyNIgRiHUbiyZsiV4,40.47292399999999,-79.96394699999999,consolidated
34th St,Pittsburgh Kitchenramma,"3340 Smallman Street, Pittsburgh",3.8,ChIJ5TTlwbXzNIgRVdAnHTB5nSk,40.4628416,-79.968384,broad_filled
penn ave,Piccolo Forno,"3801 Butler Street, Pittsburgh",4.5,ChIJ5UoaTrPzNIgR67C6D3W0d-M,40.4670037,-79.9643576,consolidated
penn ave,St Augustine Friary,"221 36th Street, Pittsburgh",5.0,ChIJ5X-jt7TzNIgRkqPH359i-yg,40.46538679999999,-79.9648062,bounding_only
penn ave,Lawrenceville Market House,"4112 Butler Street, Pittsburgh",4.5,ChIJ5YiScLDzNIgRvJZB7KdJLOs,40.4698584,-79.9606885,consolidated
penn ave,Pulchra,"3505 Butler Street, Pittsburgh",3.7,ChIJ5ZZqmLXzNIgRu7tBBODSjqs,40.46422719999999,-79.96640459999999,consolidated
48th St,Safety Guard Steel Fabricating Shop,"220 Lincoln Avenue, Millvale",,ChIJ5_eR2qvzNIgR805d9Qb3c68,40.4801261,-79.9709302,broad_filled
penn ave,"New Ivy Group, LLC","c/o Beauty Shoppe, 3706 Butler Street, Pittsburgh",,ChIJ5_op62DzNIgRpcogo31IXnc,40.4663709,-79.9643997,bounding_only
butler st,"ProtoInnovations, LLC","100 43rd Street, Pittsburgh",5.0,ChIJ5bNuyVLyNIgR-mAZxBV-GuI,40.47287370000001,-79.9638856,consolidated
butler st,Pittsburgh Ultimate,"100 43rd Street, Pittsburgh",5.0,ChIJ5bNuyVLyNIgRGcq9Dckq23c,40.4726675,-79.9638216,consolidated
butler st,Lawrenceville Corporation,"100 43rd Street #208, Pittsburgh",4.8,ChIJ5bNuyVLyNIgRHvWACuGYilI,40.4729243,-79.96394649999999,consolidated
butler st,McCormick Architects and Designers,"100 43rd Street, Pittsburgh",5.0,ChIJ5bNuyVLyNIgRJOTQAFLkNYQ,40.47287370000001,-79.9638856,consolidated
butler st,Neoforma Design,"100 43rd Street #211, Pittsburgh",,ChIJ5bNuyVLyNIgRp40m1MyOx2c,40.47287370000001,-79.9638856,consolidated
penn ave,Modern Fertility Care,"3706 Butler Street, Pittsburgh",5.0,ChIJ60gxMBPzNIgRxqErUcMTIIs,40.4663709,-79.9643997,bounding_only
butler st,Raise Fitness,"212 44th Street, Pittsburgh",5.0,ChIJ62-BX47zNIgRbXg2pl6Yz0E,40.471189,-79.9595354,consolidated
penn ave,LOYALTY ENTERTAINMENT ️,"3441 Butler Street, Pittsburgh",5.0,ChIJ6202DVZbNIgRF2gsd4mgpm8,40.4639279,-79.9666713,consolidated
Liberty Ave,Talking Computers,"4736 Penn Avenue, Pittsburgh",,ChIJ64kL-0PyNIgRh5lMNt6jbpU,40.4652856,-79.94670409999999,broad_filled
liberty ave,Dr. Karen Mele,"4760 Liberty Avenue, Pittsburgh",,ChIJ65ESRkfyNIgRrvxA1KwZ2Aw,40.4609409,-79.9480291,bounding_only
butler st,New Amsterdam,"4421 Butler Street, Pittsburgh",4.1,ChIJ66LSFVLyNIgRtZXizJSCCGk,40.472149,-79.95953,consolidated
butler st,Radiant Hall Studios,"4514 Plummer Street, Pittsburgh",4.9,ChIJ67P1TFLyNIgRxyaJykqO1bo,40.4734789,-79.9603211,consolidated
45th St,"Tricia R Sorg, Esquire","201 Grant Avenue Floor 1, Millvale",3.8,ChIJ67llFKnzNIgRiezwasCKXhw,40.4786274,-79.97123669999999,broad_filled
penn ave,Steel House Cycle,"4100 Butler Street, Pittsburgh",4.9,ChIJ67ttM6LzNIgRW-EmOTNRjuY,40.469382,-79.96105299999999,consolidated
penn ave,Constellation Coffee,"4059 Penn Avenue, Pittsburgh",4.6,ChIJ6RYU1U7yNIgRW5lPuLNmkNQ,40.4657597,-79.95576009999999,bounding_only
penn ave,St Augustine's Plaza,"230 36th Street, Pittsburgh",3.2,ChIJ6RdPzLTzNIgRKf6N2ZjNgNY,40.464839,-79.9644769,consolidated
penn ave,Lawrenceville,Pittsburgh,,ChIJ6Rdn2lLyNIgRE86PqbGEIps,40.4698118,-79.9609176,consolidated
liberty ave,"Dr. Amanda Lovallo, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR0wc3KYT_9Y8,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. David N. Finegold, MD","4401 Penn Avenue, Pittsburgh",5.0,ChIJ6XMqTE_yNIgR14rLjgvnwdk,40.4661227,-79.9533866,bounding_only
liberty ave,"Leigh Anne DiCicco, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR2L1jfVBoaWU,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Cheyenne M. Beach, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR2yENnIsU0Mw,40.4661227,-79.9533866,bounding_only
liberty ave,"Traci M Kazmerski, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR4iSPhTiuCS4,40.466019,-79.953125,bounding_only
liberty ave,Pediatric Primary Care Center: Artman Jamie,"4401 Penn Avenue # 5643, Pittsburgh",,ChIJ6XMqTE_yNIgR5yYKb2DcB2k,40.4660999,-79.95351959999999,bounding_only
liberty ave,"Dr. Sara B. Silvestri, MD","4401 Penn Avenue, Pittsburgh",5.0,ChIJ6XMqTE_yNIgR7eG6RwtS_vk,40.4661227,-79.9533866,bounding_only
liberty ave,Lowe Mark E MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR9buGk1QZOFg,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Sara Swanson, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgR9ivKJt_vOZQ,40.4661227,-79.9533866,bounding_only
liberty ave,Saladino Richard A MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRDIFJx2D5Dag,40.4661227,-79.9533866,bounding_only
liberty ave,"Dr. Lance M. Brunton, MD","4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRHMc1wSkmmbE,40.4660999,-79.95351959999999,bounding_only
liberty ave,Janowski Andrew B MD,"4401 Penn Avenue, Pittsburgh",,ChIJ6XMqTE_yNIgRJ1G6KgkivUI,40.466019,-79.953125,bounding_only
